Date,volETH,totalValueLockedUSD,bridgeVolume,dailyBorrowUSD,dailyDepositUSD,dailyRepayUSD,dailyWithdrawUSD,dailyFlashloanUSD,dailyLiquidateUSD,totalBorrowBalanceUSD,totalDepositBalanceUSD,dailyProtocolSideRevenueUSD,dailySupplySideRevenueUSD,dailyTotalRevenueUSD,dailyTransferUSD,dailyActiveBorrowers,dailyActiveDepositors,dailyActiveUsers,dailyActiveTxSigners,dailyActiveLiquidatees,dailyActiveLiquidators,dailyActivePositions,dailyBorrowCount,dailyDepositCount,dailyFlashloanCount,dailyLiquidateCount,dailyRepayCount,dailyTransactionCount,dailyTransferCount,dailyWithdrawCount,openPositionCount,weightedAverageGasPrice,weightedAverageTxFee,weightedAverageEthAPY,weightedAverageStablecoinAPY,bridgeHack,lendingHack,tokenization,marketCollapse,bridgeIntegrations,mainnet,FGI,ETHreturn,CER
2022-10-17,0.01520593390095804,21330220583,25091983.4155,269257319.10800004,437452563.66,121022610.334,498240593.77,1466177.73219,1097.3319615,10179314550.9,21330220583,82223.499958,253772.46217,335995.96216299,16692277.271,1770,3137,6168,10702,14,9,0,3869,14651,298,15,1503,32461,4876,7368,1905274,0.3660192069776979,0.30017692129854606,0.814584372077592,1.4930834327726323,0,0,0,0,0,0,20,0.01908994784296247,0.615512038277307
2022-10-18,0.01644037752402201,21358765495,190481726.16,309302287.90000004,414150222.4,82856293.15,243687071.02,1863489.9799,7404.91378879,10283125948.5,21358765495,52449.016042,259225.5622,311674.578155652,29526283.861,2364,7317,10081,14478,28,14,0,6713,20253,398,29,1945,41623,4530,7852,1909489,0.05368722291856977,0.06184241147777067,0.82419478312127,1.4787328381281806,0,0,0,0,1,0,22,-0.01537542638279454,0.7468359816580411
2022-10-19,0.01803858071720301,20950757224,151891631.341,138910964.983,208320195.36,259061047.4,425857763.12,2101061.2509,17621.2037376,10039530053.8,20950757224,59969.061055,251959.72669,311928.78776541,51972106.012,7072,8570,11561,15381,14,12,0,9773,21478,259,14,2206,45605,4748,7274,1917326,0.1005539066939953,0.04446893371738616,0.8240254141374393,1.4636978338219937,0,0,0,0,1,0,23,-0.01963755215991902,0.6668146827672983
2022-10-20,0.01793615713571635,20742585346,61438088.85,94941820.58,154957794.95,116572028.983,266912432.58,1056991.03396,3580.6375703000003,9953394870.5,20742585346,51451.916805,244947.77925,296399.69603758,19867608.543,1551,2483,5687,9171,13,12,0,3635,12683,254,13,1122,28299,4291,6447,1919871,0.06275152890512081,0.07405882697136498,0.8450420263233936,1.47210340375934,0,0,0,0,0,0,23,-0.00190795910211427,0.6126947057463921
2022-10-21,0.01848126176973144,20656165570,74487089.101,151234188.469,285173179.78,110260256.718,430102412.54,2494328.4072,17599.0766874,9914752737.1,20656165570,79262.44353199999,236994.64814,316257.091679849,39439957.914,1549,2650,5861,9809,45,18,0,3934,13739,325,66,1855,31487,4159,7511,1922706,-0.01230771104524156,0.02492774395184869,0.8474479878058969,1.4906666373245618,0,0,0,0,0,0,23,0.01307987655907094,0.5303240248107178
2022-10-22,0.01700657681807586,20743096484,44623682.0032,89608904.696,130759548.397,34207712.846999995,126581356.548,1545087.55444,1796.0309653,9950297262.5,20743096484,50761.966134,241525.44248,292287.408510192,23353133.823,1889,9070,12250,16831,14,9,0,4689,23318,269,15,1599,39345,3219,6304,1927819,-0.3862816405105184,-0.2894793683017354,0.8129281646892648,1.5287726326912845,0,0,0,0,0,0,20,0.01062227788297143,0.6852953057312324
2022-10-23,0.02006393569774676,21042196285,17829168.829,190239188.103,290221341.242,39798869.462,176901688.736,14934340.1158,1484607.773299,10077943353,21042196285,71887.17505,270491.04575,342378.22075416,13301453.724,2148,5433,8880,16058,51,25,0,6122,24255,286,64,1568,44788,4868,7738,1932738,-0.1990846000105383,-0.2138697224215013,0.822849222483677,1.5375084715501055,0,0,0,0,0,0,23,0.03756099675250901,0.6554968951934164
2022-10-24,0.02052038588398066,21061134527,32795155.7658,145892348.337,260928533.21,59170155.553,215692678.38000005,2902511.6312,14713.5974115,10115792878.8,21061134527,86973.116507,277865.66932,364838.785815739,12796251.837,1975,4808,8700,14796,53,10,0,6983,23274,284,56,1387,44155,4958,7327,1937364,0.23810562718745223,0.19614770568895495,0.8246259940663674,1.5638836277698624,0,0,0,0,0,0,22,-0.01480195427437269,0.5591276145318428
2022-10-25,0.03529565482978182,21636205418,62890470.898,357099277.39,559771731.92,292285020.551,679226454.48,5849973.123,2487339.7868,10102749308.9,21636205418,71883.952892,264745.97591000004,336629.92878496,41392209.416,2184,8105,12518,17243,87,44,0,7005,23880,529,136,1788,49471,6500,9831,1941749,0.09405008496247252,0.15080677736436648,0.7962986269614535,1.5308598095224943,0,0,0,0,0,0,20,0.08260147317968958,0.6379373180656343
2022-10-26,0.03680277994192735,22433480306,140352287.499,512089614.28,719581332.69,150144766.369,467360827.1099999,4621880.362,1413857.025,10398077979.4,22433480306,73725.81658700001,278272.55765,351998.37414319,68415944.93699999,2395,4297,9629,13751,55,33,0,7763,20682,562,117,1870,47093,6216,10105,1945718,-0.0744630414498699,-0.05896661836083956,0.7973959936394664,1.5302928945426706,0,0,0,0,0,0,33,0.07046433790599504,0.7116493869645882
2022-10-27,0.04265107107208196,22267684520,106620632.964,304603181.846,448315018.59,85008444.26200001,291783038.36,5472704.693,10032.40658426,10479702245.8,22267684520,66820.905863,280959.8464,347780.752315763,40599116.808,2576,3459,12492,16831,47,12,0,11124,27982,456,48,1455,56300,5810,9592,1951031,-0.14889321975428116,-0.18060278367902377,0.801340504508455,1.5835396387921985,0,0,0,0,0,0,32,-0.03374612096829299,0.6794400571366325
2022-10-28,0.04239511273098512,22135209784,63130116.67,274848907.496,406945361.52,218688963.663,441315801.31,5143687.1942,6050.3345316,10284757444.6,22135209784,72600.969004,290018.49563,362619.46468286,35068740.66,2415,3085,11727,16054,14,11,0,10821,27444,547,14,1375,54504,5551,8958,1956873,0.02234457903504768,0.10267240064001074,0.8149916151068297,1.585411642844883,0,0,0,0,0,0,30,0.02625400900268282,0.6753951107082273
2022-10-29,0.04216916040231942,22950622291,54518320.535,353379980.468,563255793.9,265420956.643,441236983.25,3902170.1389,682163.3423570001,10525859895.4,22950622291,87599.69006,303722.44402,391322.13403942,39344798.713,2404,3083,9861,13249,41,26,0,9550,23269,674,53,1541,48087,4864,8332,1962232,-0.14226876622588963,-0.11605487681978688,0.8076316181482027,1.5349515074435107,0,0,0,0,0,0,34,0.04110012138777819,0.6273880966606423
2022-10-30,0.04561194678284946,22315076245,45707425.59,201473119.442,381828893.6099999,254493029.988,440282141.064,2260078.6640999997,11926.011983,10105466574.7,22315076245,57857.327354,295200.71797,353058.04528815,65450924.999,2533,2848,9422,13299,12,9,0,8822,22337,593,12,1363,47480,5581,8929,1968108,-0.31672036429749834,-0.3330075208326615,0.7408657800213776,1.473660775250196,0,0,0,0,0,0,34,-0.01820520287223015,0.5276528906368848
2022-10-31,0.04513557088017046,21592722185,56988430.86,248582039.73,348185972.74,354676125.32,694042607.5899999,10820107.1584,29963.1903962,9705817143.5,21592722185,60989.430519,250509.94044,311499.3710377,62955601.093,8887,8792,14644,18284,19,15,0,14307,26043,547,20,2797,59843,5686,10615,1984557,0.613733953831608,0.6207186242094865,0.7353229414099194,1.4614157642093115,0,0,0,0,0,0,31,-0.01111487847509895,0.7139346762703247
2022-11-01,0.03665940772806773,21624462474,61161528.415,218974870.692,284962175.41999996,160915747.543,319579163.39,2904222.8164,2067.74033304,9727277359.4,21624462474,60477.581664,247319.10844,307796.69005053,28320578.102,4042,4444,10891,15184,13,12,0,8768,21497,389,14,2272,49801,6931,10097,1992806,-0.2292254432740224,-0.28374362453826607,0.6949709933467564,1.3553900242979395,0,0,0,0,0,0,30,0.00428228141529807,0.7684348646246029
2022-11-02,0.02996536543461509,21120055527,44654495.068,244622243.64,450469652.94,298283729.71000004,565605101.24,7247938.2246,80652.79807,9540388278.3,21120055527,59341.460398,239226.21534,298567.67575971,82103059.108,11463,11501,17776,22090,44,30,0,18954,32843,727,48,3964,77018,8118,12582,2006174,0.1254758894293818,0.141168394663935,0.6987679047310237,1.33669196459437,0,0,0,0,0,0,30,-0.03911841659547122,0.5430382314179603
2022-11-03,0.02716247732722723,21243078644,121866487.083,236782847.79,386508114.9899999,206193319.202,424895308.46,2887585.9094,11629.47517779,9552854617.6,21243078644,70662.067672,234975.75399,305637.821744,68586530.02399999,10496,10117,16864,20245,37,14,0,17332,28869,620,43,3681,70089,7974,11718,2016414,0.3959547285950117,0.27240502228016533,0.6896784629101289,1.3401784911871086,0,0,0,0,0,0,30,0.00789481235869882,0.6126206374635271
2022-11-04,0.03752474973934032,21969396257,71400210.364,513499957.488,701677854.37,357331243.772,700983948.37,6394018.1523,741962.280958,9674091609.5,21969396257,87204.37496,247461.40531,334665.78033304,135961828.58,4758,4826,10393,14907,125,31,0,11399,24251,674,151,2810,59229,7804,12320,2022487,-0.30800121768756356,-0.10515652026307268,0.7094274283921712,1.3568884376047563,0,0,0,0,0,0,30,0.07177309448669877,0.7318172495967467
2022-11-05,0.03496320871477691,21953560764,57012574.498,198547470.28,330390653.84,179437365.255,347008976.24,2848457.8046999997,167502.6255375,9655325535.3,21953560764,52007.537772,251767.10372,303774.641426613,60167516.205000006,4361,5105,10659,20598,62,20,0,9687,27357,618,68,2386,55065,5604,9554,2029650,-0.35847975145684347,-0.31217552452674135,0.7198409453055596,1.354750972390338,0,0,0,0,0,0,38,-0.01096561194431977,0.6009475993717172
2022-11-06,0.0370138448262451,21762050084,48120843.844,624049730.224,776827719.47,477301553.068,676900905.38,2662856.8985,6160.83799,9718085223.6,21762050084,79616.044459,242405.7302,322021.77458382,33026507.565,4022,8131,13490,19494,20,15,0,8395,25890,556,20,2274,51870,5771,9249,2039715,-0.0076553290524901,-0.066364011763258,0.7183184931814921,1.3433255031819906,0,0,0,1,0,0,40,-0.0351576111926466,0.8033309247123228
2022-11-07,0.03679074098759787,21312921505,101255876.007,282137987.825,500678873.16,225009688.41,462730111.36999995,4574144.9187,49138.854025,9523172623.1,21312921505,76793.124852,245733.45908,322526.58393926,50535156.460999995,3720,4911,9758,15220,59,24,0,9265,22435,834,64,2317,52969,7525,10716,2046565,0.2762336562588081,0.17690538562035224,0.7125423007959546,1.4781611145338756,1,0,0,0,0,0,33,-0.00209659046411836,0.5635108708388386
2022-11-08,0.07047416730020721,19779721573.6,116859125.59,545115078.3199999,969558634.34,353583483.73999995,1228440049.81,17849317.621,6397440.0199,9385558750.6,19779721573.6,77256.716891,266788.19044000003,344044.907380658,115861851.71,3068,4689,10365,15205,484,86,0,10503,26398,1778,654,4337,74406,12077,18982,2050625,0.8594720017414766,0.681502533789489,0.6538639925861608,1.6013270768434709,0,0,0,0,0,0,31,-0.1604081093873866,0.5622301313329768
2022-11-09,0.09553278648841008,17524874986.7,230360811.24,862731046.86,1547526385.13,806031143.01,1963458923.2,27715902.181,32756433.0386,8836268301.7,17524874986.7,226514.58121,341230.77463,567745.3557954,277255715.54,2994,7464,15192,21159,1817,129,0,9068,34037,2428,2217,6852,101295,20008,27225,2054211,0.07055316359839083,-0.09442200140595328,0.5880773926280662,2.435343327320356,0,0,0,0,0,0,29,-0.1930450154916787,0.5574903634276492
2022-11-10,0.12455928812612203,19030979118.5,265053913.95,1610293445.7,2721488029.51,775973427.64,2574735805.3,53509398.276,8704822.06228,9028192759.5,19030979118.5,126871.324703,579629.23426,706500.55903941,247563426.45,3283,10057,15978,21168,316,63,0,9947,36280,1732,367,4712,96037,18272,25553,2060923,-0.3042771426499004,-0.11558197229295346,0.4782622282330158,2.6316447451111245,0,0,0,0,0,0,22,0.16563667971696283,0.5916959502445178
2022-11-11,0.11785773655680302,18703111297.2,135819811.02,366129444.55,774287042.4300001,175904379.18,726937474.99,6877245.807,218853.45436,9003505935.5,18703111297.2,58370.484983,296360.67683,354731.16187425,70123989.189,3119,6669,12412,17574,90,33,0,9177,29041,897,96,2619,73167,13572,18186,2067697,-0.32890472302819795,-0.34270066046319253,0.4857151537414715,2.262152746534537,0,0,0,0,0,0,25,-0.0081305659313795,0.47286009514113775
2022-11-12,0.11749501462079402,18618961108.5,45337775.025,481926126.48,683496505.02,151602957.448,602298780.0300001,4175092.8474,13076.138439,9029879778.5,18618961108.5,163031.845677,337456.85865,500488.7042527031,75523675.829,3004,6227,11086,15899,194,22,0,7908,24194,651,272,2405,57700,8873,13681,2074098,-0.33029609433410906,-0.30804724964503605,0.5250392464985288,2.512725545227819,0,0,0,0,0,0,21,-0.02541670541728535,0.7050893793025295
